SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,ISIN
RAJESHEXPO,EQ,691.5,692.55,676,680.65,678.5,692.45,445788,304833703.1,11300,INE343B01030
RAJOIL,EQ,1.3,1.35,1.25,1.3,1.3,1.3,26816,34716.55,23,INE294G01018
RAJSREESUG,EQ,50.5,52.8,50.35,51.35,51.4,50.45,26478,1369076,281,INE562B01019
RAJTV,EQ,54.3,57.75,54.3,55.4,55.4,56.3,5938,332183.35,122,INE952H01027
RAJVIR,EQ,41,41,41,41,41,39.95,2,82,1,INE011H01014
RALLIS,EQ,235.6,244.6,235.6,239.3,239.4,239.05,115229,27685371.9,1984,INE613A01020
RAMANEWS,EQ,24.8,25.8,24.25,24.45,24.3,25,40660,1002914.75,189,INE278B01020
RAMASTEEL,EQ,126.05,127.55,125,125.1,125.5,126.6,19620,2471704.45,194,INE230R01027
RAMCOCEM,EQ,680.45,692.45,670.7,682.65,680,680.7,164679,112822042.65,6532,INE331A01037
RDEL,EQ,59.95,59.95,58.25,58.5,58.55,60,1456821,85674629.55,6904,INE542F01012
RECLTD,EQ,167.8,172.75,167.25,171.7,171.35,169.25,6196541,1057977282.95,56494,INE020B01018
REDINGTON,EQ,128.7,132.5,127.55,128.7,129,127.7,75498,9798859.25,3189,INE891D01026
REFEX,EQ,15.65,15.85,15.3,15.55,15.55,15.55,29791,465388.6,72,INE056I01017
REIAGROLTD,EQ,0.3,0.3,0.25,0.3,0.3,0.3,2099791,604867.35,110,INE385B01031
RELAXO,EQ,483.15,483.9,470.45,475.15,476,486.5,11173,5338991.05,379,INE131B01039
RELCAPITAL,EQ,654,660,645.65,651.45,649.1,658.4,2390070,1559177106.75,33955,INE013A01015
RELCNX100,EQ,99.63,100.43,99.63,100.43,100.43,99.78,554,55207.02,2,INF204K014N5
RELCONS,EQ,44.54,44.95,44.31,44.85,44.9,44.98,2204,98246.34,11,INF204KA1LD7
RELDIVOPP,EQ,25.52,25.56,25.5,25.5,25.5,25.29,239,6106.5,5,INF204KA1MS3
RELIANCE,EQ,1439.95,1439.95,1395.55,1398.5,1399.8,1437.15,3558538,5012497439.8,96283,INE002A01018
RELIGARE,EQ,174.05,177.35,173.15,173.7,173.3,175.5,8562,1493158.55,257,INE621H01010
RELINFRA,EQ,503.1,508,498.1,503.8,503.2,503.55,1314849,662330332.05,28145,INE036A01016
REMSONSIND,EQ,52.2,57.95,52.2,57,57,55.5,12,688.7,3,INE474C01015
RENUKA,EQ,12.5,12.65,12.45,12.5,12.5,12.45,610928,7663829.4,905,INE087H01022
REPCOHOME,EQ,836.95,836.95,798.95,810.3,808.6,827.85,225570,183105672.9,13569,INE612J01015
REPRO,EQ,432,439.95,423.7,429.85,433.5,436.35,4300,1859738.65,196,INE461B01014
RESPONIND,EQ,87.8,87.8,83.2,85.1,85.5,84.4,1829,153974.5,90,INE688D01026
REVATHI,EQ,757,767.95,757,757.45,757,767.35,520,394551.1,44,INE617A01013
RICOAUTO,EQ,51.4,51.45,50.6,50.9,51.25,50.7,148334,7564636.5,1248,INE209B01025
RIIL,EQ,434,434,427.05,428.55,427.85,434.35,167637,72058666.35,5796,INE046A01015
RJL,EQ,172.1,174,169.3,169.95,169.6,172.45,11402,1952869.05,296,INE722H01016
SAIL,EQ,56.5,57.45,56.15,57.05,57.1,56.45,3812635,217142025.65,20768,INE114A01011
SAKHTISUG,EQ,27.85,28.1,26.6,26.75,26.7,27.5,160017,4344645.55,989,INE623A01011
SAKSOFT,EQ,212.2,216,212.2,214.3,213.45,216.1,636,136398.95,38,INE667G01015
SAKUMA,EQ,74.45,76.4,72.8,73.85,74,74,60011,4456615.05,942,INE190H01016
SALORAINTL,EQ,49.55,50.8,49.55,50.75,50.8,49.55,280,13997.75,7,INE924A01013
SALSTEEL,EQ,5.4,5.8,5.35,5.65,5.8,5.5,28486,158796.75,79,INE658G01014
SALZERELEC,EQ,197,200.45,195.25,199.1,200,197.05,20173,3992911.3,613,INE457F01013
SAMBHAAV,EQ,7.7,9,7.65,8.6,8.75,8.5,47508,411154.6,100,INE699B01027
SANCO,EQ,106.9,109.8,106.9,109.3,107,107,13006,1418724,21,INE782L01012
SANDESH,EQ,884,886,855,871,860,869.6,1819,1581495.35,156,INE583B01015
SANGAMIND,EQ,260.5,265.9,255.15,262.15,260.5,261.45,2823,734719.45,190,INE495C01010
SANGHIIND,EQ,82.45,85.95,81.85,84.5,84,82.5,515676,43661151.5,2249,INE999B01013
SANGHVIFOR,EQ,39.05,40.4,39.05,40.1,40.15,39.05,1054,42357.6,12,INE263L01013
SANGHVIMOV,EQ,235.95,240.35,234.05,235.8,237.55,236.55,29166,6895669.65,707,INE989A01024
SANOFI,EQ,4198.85,4380.9,4080.1,4148.65,4130,4132.9,2551,10697121.3,972,INE058A01010
SANWARIA,EQ,15.25,15.7,14.6,14.7,14.75,15.3,1699877,25614309.65,1685,INE890C01046
SARDAEN,EQ,247.6,251,246.65,250.1,250,249.85,42785,10685517.25,771,INE385C01013
SAREGAMA,EQ,267,293.9,267,283.1,282.45,265.95,889713,252739843.9,16446,INE979A01017
SARLAPOLY,EQ,48.65,48.8,48,48.3,48.25,48.65,28748,1389103.35,272,INE453D01025
SASKEN,EQ,414,434.95,405.25,425.4,426,417.6,25838,10893958.55,1412,INE231F01020
SATHAISPAT,EQ,36,38.4,35.05,35.95,35.95,36.25,34837,1265437.4,243,INE176C01016
SATIN,EQ,273,279.8,271,273.05,272.5,273.45,72484,19902966.1,1487,INE836B01017
SBIN,EQ,277.6,278.45,273.75,276.4,276.25,279.65,17241351,4756142542.2,140286,INE062A01020
SCHAND,EQ,486.8,493.35,473.1,484.3,485.3,487.4,139250,67239487.8,5167,INE807K01035
SCHNEIDER,EQ,125.2,128.05,125.2,126,126,125.9,40449,5120921.5,677,INE839M01018
SCI,EQ,78.4,79.2,77.15,77.5,77.65,78,620162,48386473,4238,INE109A01011
SDBL,EQ,134.5,134.5,126.1,127.1,127.65,134.65,58360,7536254.9,720,INE480C01012
SEAMECLTD,EQ,147.1,161,145.95,157.45,160,146.7,335872,52500043.15,5453,INE497B01018
SEINV,EQ,152,156.7,149.15,152.2,151.95,150,346,52390.85,36,INE420C01042
SELAN,EQ,155,158,154.7,155.1,154.8,156.7,74666,11642992.65,1096,INE818A01017
SELMCL,EQ,3,3,2.95,2.95,2.95,3,57178,170127.55,33,INE105I01012
SENSEXIWIN,EQ,321.15,321.15,321.15,321.15,321.15,319.36,160,51384,16,INF346A01034
SEPOWER,EQ,7.75,8,7.65,7.9,7.9,8.1,2352,18407.3,10,INE735M01018
SEQUENT,EQ,119.95,119.95,116.35,117.1,117,117.95,20913,2457470.75,300,INE807F01027
SERVALL,EQ,3,3.1,2.8,2.8,3.05,3.15,5632,16010.9,8,INE431L01016
SESHAPAPER,EQ,757.4,759,748,750.05,748,755.2,15793,11856972.45,707,INE630A01016
SETCO,EQ,37.35,37.5,36.5,36.6,36.5,36.95,98607,3645466.95,700,INE878E01021
SETFGOLD,EQ,2625.55,2640.1,2613.15,2615.1,2615.55,2625.6,4316,11323211.1,2185,INF200K01099
SETFNIF50,EQ,96.03,96.19,95.75,95.97,95.96,96.06,7094,680372.23,37,INF200KA1FS1
SKIPPER,EQ,192.05,198.9,190.5,196,198.85,192.6,22136,4302767.85,632,INE439E01022
SMARTLINK,EQ,96.9,97.55,95.5,96.4,96.15,96.2,43873,4237399.95,308,INE178C01020
SMLISUZU,EQ,1235,1243.95,1221,1238.5,1240.3,1232.4,11769,14521515.3,710,INE294B01019
SMPL,EQ,1.7,1.75,1.55,1.55,1.55,1.7,351951,565074,164,INE215G01021
SNOWMAN,EQ,59.8,60.9,59.2,60.65,60.5,59,857065,51558735.65,6019,INE734N01019
SOBHA,EQ,374.15,375.95,365,366.1,366.7,373.6,88857,32867853.05,3292,INE671H01015
SOLARINDS,EQ,804.5,824.4,800.3,819.55,822,812.95,7079,5800164.8,592,INE343H01029
SOMANYCERA,EQ,780.05,783.7,765,771,770,770.65,2843,2190707,292,INE355A01028
SOMATEX,EQ,12.1,12.5,11.75,12.1,12.3,12.25,7612,92571.6,46,INE314C01013
SOMICONVEY,EQ,46,49.95,46,46.45,47,47.05,2469,114894.1,55,INE323J01019
SONASTEER,EQ,86.85,86.85,84.4,85.15,86.5,86.2,854714,73234465.4,1195,INE643A01035
SONATSOFTW,EQ,150,152,148.7,151.05,151.95,149.85,84122,12660682.55,2622,INE269A01021
SORILHOLD,EQ,37.1,39.1,36.25,38.35,38.3,37.25,428437,16428747.65,2224,INE126M01010
SORILINFRA,EQ,129.95,133.45,128.5,129.25,129.7,129.95,45114,5889195.35,693,INE034H01016
SOTL,EQ,1098.05,1158,1090.8,1128.75,1121,1118.6,1592,1808931,289,INE035D01012
SOUTHBANK,EQ,27.4,27.7,27,27.5,27.6,27.55,9484606,260341794.35,9138,INE683A01023
SPAL,EQ,451,458,448.5,450.8,450.9,451.95,14605,6607058.2,787,INE212I01016
SPARC,EQ,293.95,297.85,292.15,293.4,292.9,294.8,62900,18529050.7,2431,INE232I01014
SPCENET,EQ,0.45,0.45,0.4,0.4,0.4,0.45,14829,6121.6,6,INE970N01027
